service_id,date,exception_type
44260,20241011,1
44260,20241012,1
44260,20241013,1
44260,20241014,1
44260,20241015,1
44260,20241016,1
44260,20241017,1
44260,20241018,1
44260,20241019,1
44260,20241020,1
44260,20241021,1
44260,20241022,1
44260,20241023,1
44260,20241024,1
44260,20241025,1
44260,20241026,1
44260,20241027,1
44260,20241028,1
44260,20241029,1
44260,20241030,1
44260,20241031,1
44260,20241101,1
44260,20241102,1
44260,20241103,1
44260,20241104,1
44260,20241105,1
44260,20241106,1
44260,20241107,1
44260,20241108,1
44260,20241109,1
44260,20241110,1
44260,20241111,1
44261,20241011,1
44261,20241012,1
44261,20241013,1
44261,20241014,1
44261,20241015,1
44261,20241016,1
44261,20241017,1
44261,20241018,1
44261,20241019,1
44261,20241020,1
44261,20241021,1
44261,20241022,1
44261,20241023,1
44261,20241024,1
44261,20241025,1
44261,20241031,1
44261,20241101,1
44261,20241102,1
44261,20241103,1
44261,20241104,1
44261,20241105,1
44261,20241106,1
44261,20241107,1
44261,20241108,1
44261,20241109,1
44261,20241110,1
44261,20241111,1
44262,20241011,1
44262,20241012,1
44262,20241013,1
44262,20241014,1
44262,20241015,1
44262,20241016,1
44262,20241017,1
44262,20241018,1
44262,20241021,1
44262,20241022,1
44262,20241023,1
44262,20241024,1
44262,20241025,1
44262,20241028,1
44262,20241029,1
44262,20241030,1
44262,20241031,1
44262,20241101,1
44262,20241102,1
44262,20241103,1
44262,20241104,1
44262,20241105,1
44262,20241106,1
44262,20241107,1
44262,20241108,1
44262,20241109,1
44262,20241110,1
44262,20241111,1
44263,20241011,1
44263,20241012,1
44263,20241013,1
44263,20241014,1
44263,20241015,1
44263,20241016,1
44263,20241017,1
44263,20241018,1
44263,20241021,1
44263,20241022,1
44263,20241023,1
44263,20241024,1
44263,20241025,1
44263,20241031,1
44263,20241101,1
44263,20241102,1
44263,20241103,1
44263,20241104,1
44263,20241105,1
44263,20241106,1
44263,20241107,1
44263,20241108,1
44263,20241109,1
44263,20241110,1
44263,20241111,1
44264,20241011,1
44264,20241012,1
44264,20241013,1
44264,20241014,1
44264,20241015,1
44264,20241016,1
44264,20241017,1
44264,20241018,1
44264,20241021,1
44264,20241022,1
44264,20241023,1
44264,20241024,1
44264,20241025,1
44264,20241101,1
44264,20241102,1
44264,20241103,1
44264,20241104,1
44264,20241105,1
44264,20241106,1
44264,20241107,1
44264,20241108,1
44264,20241109,1
44264,20241110,1
44264,20241111,1
44265,20241011,1
44265,20241012,1
44265,20241014,1
44265,20241015,1
44265,20241016,1
44265,20241017,1
44265,20241018,1
44265,20241019,1
44265,20241021,1
44265,20241022,1
44265,20241024,1
44265,20241025,1
44265,20241026,1
44265,20241028,1
44265,20241029,1
44265,20241030,1
44265,20241031,1
44265,20241102,1
44265,20241104,1
44265,20241105,1
44265,20241106,1
44265,20241107,1
44265,20241108,1
44265,20241109,1
44265,20241111,1
44266,20241011,1
44266,20241014,1
44266,20241015,1
44266,20241016,1
44266,20241017,1
44266,20241018,1
44267,20241011,1
44267,20241014,1
44267,20241015,1
44267,20241016,1
44267,20241017,1
44267,20241018,1
44267,20241019,1
44267,20241020,1
44267,20241021,1
44267,20241022,1
44267,20241023,1
44267,20241024,1
44267,20241025,1
44267,20241026,1
44267,20241027,1
44267,20241028,1
44267,20241029,1
44267,20241030,1
44267,20241031,1
44267,20241101,1
44267,20241102,1
44267,20241103,1
44267,20241104,1
44267,20241105,1
44267,20241106,1
44267,20241107,1
44267,20241108,1
44267,20241109,1
44267,20241110,1
44267,20241111,1
44268,20241011,1
44268,20241014,1
44268,20241015,1
44268,20241016,1
44268,20241017,1
44268,20241018,1
44268,20241019,1
44268,20241020,1
44268,20241021,1
44268,20241022,1
44268,20241023,1
44268,20241024,1
44268,20241025,1
44268,20241026,1
44268,20241027,1
44268,20241101,1
44268,20241102,1
44268,20241103,1
44268,20241104,1
44268,20241105,1
44268,20241106,1
44268,20241107,1
44268,20241108,1
44268,20241109,1
44268,20241110,1
44268,20241111,1
44269,20241011,1
44269,20241014,1
44269,20241015,1
